Step,AgentID,agent_id,position,state,products_remaining
49.0,23,23,"(3, 5)",shopping,1
49.0,24,24,"(2, 4)",shopping,1
50.0,2,2,"(39, 3)",shopping,1
50.0,3,3,"(39, 1)",shopping,0
50.0,4,4,"(42, 3)",shopping,1
50.0,5,5,"(34, 1)",exiting,0
50.0,6,6,"(31, 5)",shopping,1
50.0,7,7,"(29, 6)",exiting,0
50.0,8,8,"(26, 3)",exiting,0
50.0,9,9,"(27, 3)",shopping,1
50.0,10,10,"(26, 4)",shopping,1
50.0,11,11,"(27, 6)",shopping,2
50.0,12,12,"(20, 6)",shopping,1
50.0,13,13,"(23, 4)",shopping,2
50.0,14,14,"(20, 5)",shopping,1
50.0,15,15,"(16, 5)",shopping,2
50.0,16,16,"(15, 6)",shopping,2
50.0,17,17,"(14, 3)",shopping,2
50.0,18,18,"(12, 3)",shopping,1
50.0,19,19,"(11, 4)",shopping,2
50.0,20,20,"(10, 5)",shopping,2
50.0,21,21,"(7, 4)",shopping,2
50.0,22,22,"(6, 3)",shopping,2
50.0,23,23,"(4, 5)",shopping,1
50.0,24,24,"(3, 4)",shopping,1
50.0,25,25,"(1, 4)",shopping,1
51.0,2,2,"(39, 2)",shopping,1
51.0,3,3,"(39, 1)",exiting,0
51.0,4,4,"(43, 3)",shopping,1
51.0,5,5,"(35, 1)",exiting,0
51.0,6,6,"(32, 5)",shopping,1
51.0,7,7,"(29, 5)",exiting,0
51.0,8,8,"(25, 3)",exiting,0
51.0,9,9,"(27, 3)",dwelling,1
51.0,10,10,"(26, 4)",shopping,1
51.0,11,11,"(28, 6)",shopping,2
51.0,12,12,"(21, 6)",shopping,1
51.0,13,13,"(24, 4)",shopping,2
51.0,14,14,"(21, 5)",shopping,1
51.0,15,15,"(16, 6)",shopping,2
51.0,16,16,"(15, 6)",shopping,2
51.0,17,17,"(15, 3)",shopping,2
51.0,18,18,"(13, 3)",shopping,1
51.0,19,19,"(12, 4)",shopping,2
51.0,20,20,"(11, 5)",shopping,2
51.0,21,21,"(8, 4)",shopping,2
51.0,22,22,"(7, 3)",shopping,2
51.0,23,23,"(5, 5)",shopping,1
51.0,24,24,"(4, 4)",shopping,1
51.0,25,25,"(2, 4)",shopping,1
52.0,2,2,"(39, 2)",shopping,1
52.0,3,3,"(38, 1)",exiting,0
52.0,4,4,"(44, 3)",shopping,1
